!CSV A.01.01
!Keysight Technologies,N5222B,MY57181103,A.13.55.04
!Date: Friday, July 24, 2026 15:22:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S31(DB),S31(DEG),S11(DB),S11(DEG),S33(DB),S33(DEG)
11059792417.309,-28.030617,-122.45769,-14.386425,154.76202,-12.086972,-97.745216
11059792424.823,-28.017506,-122.5063,-14.374602,154.72815,-12.084065,-97.752449
11059792432.336,-28.033741,-122.61616,-14.378849,154.40573,-12.089875,-97.871498
11059792439.85,-28.072426,-122.93734,-14.372217,154.57207,-12.107052,-97.79953
11059792447.364,-28.08651,-122.43076,-14.369232,154.66121,-12.115012,-97.951683
11059792454.878,-28.090458,-122.32174,-14.359509,154.68216,-12.078573,-97.915337
11059792462.392,-28.075676,-122.81153,-14.37041,154.64465,-12.122515,-97.958321
11059792469.905,-28.137899,-122.64717,-14.360761,154.71724,-12.076842,-97.94915
11059792477.419,-28.097975,-122.20834,-14.383888,154.76202,-12.105896,-97.953537
11059792484.933,-28.088484,-122.02722,-14.392778,154.66338,-12.094775,-97.885597
11059792492.447,-27.927765,-122.24484,-14.381378,154.68034,-12.106332,-97.890434
11059792499.961,-28.042685,-122.27495,-14.376167,154.51907,-12.08386,-97.894913
11059792507.474,-28.03894,-122.46053,-14.398301,154.48776,-12.084274,-97.95282
11059792514.988,-28.037092,-122.84476,-14.387533,154.51859,-12.09584,-97.767113
11059792522.502,-27.980801,-122.7851,-14.362042,154.4794,-12.090778,-97.860344
11059792530.016,-28.027868,-122.0233,-14.375256,154.52316,-12.089722,-97.877502
11059792537.53,-28.006172,-122.31342,-14.358254,154.6161,-12.097082,-97.9384
11059792545.044,-27.994987,-122.3713,-14.35283,154.56989,-12.107713,-97.978584
11059792552.557,-28.121767,-123.00858,-14.342344,154.5894,-12.104062,-97.930656
11059792560.071,-28.110716,-122.9447,-14.364268,154.62494,-12.081361,-97.976425
11059792567.585,-28.082439,-122.37044,-14.36093,154.65268,-12.092455,-97.921173
11059792575.099,-28.048849,-122.58256,-14.401339,154.71204,-12.102006,-97.863068
11059792582.613,-28.048214,-122.46468,-14.378174,154.64806,-12.101843,-97.905983
11059792590.126,-28.040205,-122.58862,-14.371918,154.50856,-12.096514,-97.979424
11059792597.64,-27.957806,-122.41169,-14.380043,154.61987,-12.094543,-97.782982
11059792605.154,-28.03277,-123.12689,-14.39535,154.43185,-12.102923,-97.878098
11059792612.668,-28.00535,-122.48151,-14.386361,154.51886,-12.089543,-97.944115
11059792620.182,-27.930574,-122.41356,-14.405699,154.42957,-12.100504,-97.785057
11059792627.695,-27.962183,-122.81525,-14.372397,154.52655,-12.09051,-97.787514
11059792635.209,-28.051565,-122.59038,-14.376304,154.61093,-12.104621,-97.91777
11059792642.723,-28.012035,-122.28101,-14.401086,154.56084,-12.092641,-97.965263
11059792650.237,-27.977049,-122.77692,-14.381881,154.65096,-12.109731,-97.957993
11059792657.751,-28.050728,-122.72787,-14.362141,154.59407,-12.092805,-98.004044
11059792665.265,-27.949848,-123.04037,-14.380208,154.42896,-12.101427,-97.992546
11059792672.778,-27.950947,-122.64778,-14.394824,154.62996,-12.095197,-97.942673
11059792680.292,-28.044525,-122.33279,-14.395198,154.3387,-12.09691,-97.943024
11059792687.806,-28.025362,-123.15199,-14.394394,154.38657,-12.110682,-97.966057
11059792695.32,-27.95159,-122.88628,-14.395221,154.31111,-12.105578,-97.752831
11059792702.834,-27.940819,-122.15671,-14.391989,154.44763,-12.105533,-97.835373
11059792710.347,-27.962429,-122.74982,-14.388015,154.52901,-12.093449,-97.930023
11059792717.861,-27.983799,-122.631,-14.398267,154.50089,-12.113187,-97.961655
11059792725.375,-27.863642,-122.56903,-14.387992,154.56375,-12.120147,-98.023094
11059792732.889,-27.928276,-122.58004,-14.389822,154.52258,-12.111179,-98.042259
11059792740.403,-27.976849,-122.80384,-14.3732,154.36482,-12.10728,-98.02935
11059792747.916,-28.047609,-122.33948,-14.391733,154.43758,-12.095301,-98.078117
11059792755.43,-27.959131,-122.15591,-14.389928,154.28384,-12.091729,-98.027161
11059792762.944,-27.934193,-122.61482,-14.37976,154.60269,-12.102555,-97.983269
11059792770.458,-27.949329,-122.41967,-14.383107,154.6521,-12.11577,-97.983284
11059792777.972,-27.877121,-123.4624,-14.406177,154.53062,-12.086415,-97.916565
11059792785.486,-27.956955,-123.05651,-14.404778,154.40897,-12.102339,-97.961601
11059792792.999,-27.909994,-122.36918,-14.41443,154.29875,-12.10098,-97.963829
11059792800.513,-27.910629,-123.17528,-14.415688,154.39523,-12.108373,-98.071701
11059792808.027,-27.850494,-122.38157,-14.398313,154.34917,-12.104274,-98.054787
11059792815.541,-27.888252,-122.68039,-14.409794,154.39261,-12.100411,-98.076454
11059792823.055,-27.915762,-122.72131,-14.389974,154.43867,-12.099,-98.028358
11059792830.568,-27.915989,-122.53963,-14.397309,154.46289,-12.095675,-98.110184
11059792838.082,-27.927618,-122.98595,-14.384713,154.43385,-12.108274,-98.072556
11059792845.596,-27.830267,-122.46362,-14.39424,154.44025,-12.102057,-97.922043
11059792853.11,-27.892426,-122.68851,-14.399998,154.47351,-12.120857,-98.06517
11059792860.624,-27.892004,-122.18469,-14.40798,154.35152,-12.112983,-98.05294
11059792868.137,-27.851194,-122.3665,-14.398311,154.44136,-12.120461,-97.945
11059792875.651,-27.883816,-122.61002,-14.431939,154.32689,-12.099901,-98.06765
11059792883.165,-27.888674,-122.6767,-14.416955,154.46748,-12.096031,-97.7967
11059792890.679,-27.856285,-122.91428,-14.417675,154.22221,-12.092441,-97.968956
11059792898.193,-27.811905,-122.57899,-14.404608,154.29549,-12.082378,-97.958885
11059792905.707,-27.860573,-123.36552,-14.415454,154.33839,-12.110073,-98.046646
11059792913.22,-27.824175,-122.22543,-14.414564,154.27238,-12.113189,-98.068939
11059792920.734,-27.850399,-122.5256,-14.406344,154.36133,-12.099403,-98.042206
11059792928.248,-27.884375,-123.18649,-14.397765,154.38506,-12.120646,-98.094894
11059792935.762,-27.931705,-122.67725,-14.422029,154.31664,-12.110183,-98.054237
11059792943.276,-27.887554,-122.92809,-14.415506,154.40947,-12.115974,-98.022514
11059792950.789,-27.922691,-122.7389,-14.417885,154.34332,-12.12008,-98.073586
11059792958.303,-27.846226,-123.23847,-14.423154,154.38531,-12.100718,-98.048996
11059792965.817,-27.884476,-122.96099,-14.424221,154.43568,-12.112004,-98.010567
11059792973.331,-27.846476,-122.95604,-14.394061,154.19402,-12.099998,-98.061996
11059792980.845,-27.786928,-123.24354,-14.423487,154.37436,-12.104924,-97.971954
11059792988.358,-27.772049,-122.91057,-14.410591,154.31808,-12.100756,-98.114143
11059792995.872,-27.904839,-123.01099,-14.412376,154.201,-12.108541,-97.982033
11059793003.386,-27.800833,-122.70961,-14.427982,154.34164,-12.100864,-98.02578
11059793010.9,-27.853752,-122.70742,-14.391259,154.38704,-12.098376,-98.08992
11059793018.414,-27.895523,-123.15233,-14.392546,154.26039,-12.110486,-98.144638
11059793025.928,-27.812912,-122.55925,-14.408382,154.26935,-12.115966,-98.179375
11059793033.441,-27.782589,-122.6793,-14.395652,154.27489,-12.109621,-98.243744
11059793040.955,-27.678194,-122.54361,-14.388966,154.26164,-12.110386,-98.122276
11059793048.469,-27.914536,-122.8678,-14.44201,154.30038,-12.114285,-98.125099
11059793055.983,-27.886761,-123.47978,-14.41979,154.30637,-12.112106,-98.263672
11059793063.497,-27.842312,-122.95876,-14.432874,154.35507,-12.11305,-98.04985
11059793071.01,-27.774672,-122.76597,-14.442772,154.19221,-12.11593,-98.076775
11059793078.524,-27.669279,-123.14964,-14.417755,154.18126,-12.118759,-98.078323
11059793086.038,-27.661453,-122.81647,-14.418149,154.20882,-12.122647,-97.943558
11059793093.552,-27.726109,-123.05798,-14.430445,154.3156,-12.10101,-98.13205
11059793101.066,-27.832104,-123.3944,-14.452187,154.13849,-12.117425,-98.001259
11059793108.579,-27.764984,-123.18294,-14.410203,154.21126,-12.129475,-98.104591
11059793116.093,-27.801908,-122.67323,-14.423373,154.28734,-12.094694,-98.119087
11059793123.607,-27.775303,-122.7703,-14.398003,154.36311,-12.123156,-98.253075
11059793131.121,-27.818092,-123.01063,-14.41396,154.34982,-12.123013,-98.140709
11059793138.635,-27.850084,-123.01176,-14.411646,154.31674,-12.102987,-98.134499
11059793146.149,-27.789606,-123.34837,-14.428211,154.17499,-12.103971,-98.232033
11059793153.662,-27.774786,-123.05481,-14.417824,154.33537,-12.114053,-98.171982
11059793161.176,-27.68059,-123.18223,-14.423065,154.1236,-12.106663,-98.14978
11059793168.69,-27.74234,-123.10595,-14.430559,154.10313,-12.117321,-98.088326
11059793176.204,-27.669092,-123.28211,-14.426527,154.10776,-12.105579,-98.079079
11059793183.718,-27.763748,-122.99164,-14.421211,154.1104,-12.109716,-98.03904
11059793191.231,-27.769102,-122.56944,-14.441545,154.03574,-12.098651,-98.126648
11059793198.745,-27.832199,-123.32581,-14.439021,154.21072,-12.126209,-98.19603
11059793206.259,-27.774862,-123.0602,-14.436084,154.26466,-12.111442,-98.021889
11059793213.773,-27.764742,-122.74451,-14.434669,154.30368,-12.10817,-98.0065
11059793221.287,-27.813004,-123.27456,-14.427723,154.10974,-12.106722,-98.253311
11059793228.8,-27.80542,-123.36002,-14.44251,154.17392,-12.130018,-98.145782
11059793236.314,-27.776011,-122.96887,-14.43772,154.14911,-12.125278,-98.255905
11059793243.828,-27.734587,-123.48388,-14.448975,154.13045,-12.118862,-98.153091
11059793251.342,-27.698139,-123.05579,-14.432391,154.18878,-12.102299,-98.192986
11059793258.856,-27.697298,-122.88333,-14.454654,154.0992,-12.10683,-98.124146
11059793266.37,-27.631737,-123.17604,-14.45918,154.09512,-12.102486,-98.201965
11059793273.883,-27.723305,-123.01856,-14.443032,154.06923,-12.125947,-98.062843
11059793281.397,-27.704134,-123.16547,-14.432736,154.10196,-12.097717,-98.018204
11059793288.911,-27.67226,-123.37672,-14.441922,154.28703,-12.116484,-98.144157
11059793296.425,-27.655584,-123.21648,-14.43295,154.0824,-12.114333,-98.172195
11059793303.939,-27.76413,-122.74645,-14.456309,154.00584,-12.118353,-98.293922
11059793311.452,-27.736723,-122.60806,-14.442857,154.12828,-12.107135,-98.212852
11059793318.966,-27.824068,-123.46611,-14.438586,154.13104,-12.127435,-98.26664
11059793326.48,-27.772032,-123.32156,-14.433179,154.00854,-12.117876,-98.289452
11059793333.994,-27.744732,-122.98313,-14.438478,154.25446,-12.115971,-98.186531
11059793341.508,-27.733059,-123.5575,-14.44896,153.9976,-12.104879,-98.2715
11059793349.021,-27.607395,-123.14581,-14.475757,154.02028,-12.120994,-98.080551
11059793356.535,-27.592373,-123.279,-14.434765,154.02402,-12.111217,-98.201103
11059793364.049,-27.665157,-123.33569,-14.464637,154.0697,-12.124561,-98.154434
11059793371.563,-27.684347,-123.89563,-14.4505,154.02272,-12.11567,-98.154732
11059793379.077,-27.704111,-123.11818,-14.445209,153.92796,-12.116638,-98.113602
11059793386.591,-27.617493,-123.64093,-14.441143,153.81378,-12.110733,-98.194221
11059793394.104,-27.639389,-123.49384,-14.439911,154.0778,-12.11482,-98.19133
11059793401.618,-27.601006,-123.06876,-14.448697,154.16711,-12.124124,-98.218811
11059793409.132,-27.753199,-123.49281,-14.44625,154.04523,-12.11335,-98.235535
11059793416.646,-27.647945,-123.77015,-14.457983,153.92508,-12.127257,-98.367218
11059793424.16,-27.615273,-123.38261,-14.452525,153.93861,-12.146854,-98.272804
11059793431.673,-27.63685,-123.52207,-14.439926,153.95488,-12.141977,-98.198212
11059793439.187,-27.627205,-122.98522,-14.449746,154.08205,-12.113729,-98.264839
11059793446.701,-27.588419,-123.29173,-14.463206,153.93297,-12.116508,-98.106644
11059793454.215,-27.589487,-124.23274,-14.452209,153.94373,-12.105254,-98.236717
11059793461.729,-27.584419,-123.80957,-14.466387,153.94821,-12.130994,-98.127434
11059793469.242,-27.580519,-123.46276,-14.468599,153.93185,-12.117308,-98.193657
11059793476.756,-27.563835,-122.99098,-14.475327,153.96823,-12.117131,-98.163719
11059793484.27,-27.602798,-122.94917,-14.453761,153.91762,-12.137136,-98.275116
11059793491.784,-27.613144,-122.8213,-14.46349,153.9958,-12.125254,-98.32724
11059793499.298,-27.595751,-123.60458,-14.441094,153.89108,-12.118952,-98.305092
11059793506.812,-27.677832,-122.97681,-14.459867,153.92392,-12.129039,-98.24511
11059793514.325,-27.727383,-123.60972,-14.437942,153.93968,-12.12486,-98.369667
11059793521.839,-27.642574,-123.27177,-14.45207,154.08324,-12.133309,-98.281227
11059793529.353,-27.517365,-123.4489,-14.461159,153.93256,-12.124923,-98.224739
11059793536.867,-27.568899,-123.25346,-14.468966,153.84651,-12.123395,-98.289825
11059793544.381,-27.508236,-123.645,-14.475878,154.02362,-12.129363,-98.326347
11059793551.894,-27.546747,-123.58361,-14.468827,153.71992,-12.118855,-98.243767
11059793559.408,-27.527313,-124.08939,-14.492995,153.87393,-12.121373,-98.310669
11059793566.922,-27.648012,-123.70366,-14.443894,153.931,-12.113258,-98.246506
11059793574.436,-27.541857,-123.39191,-14.44943,153.91609,-12.138543,-98.311028
11059793581.95,-27.555735,-123.02666,-14.468109,153.93428,-12.124179,-98.245949
11059793589.463,-27.674604,-123.72728,-14.479575,153.84517,-12.118908,-98.416473
11059793596.977,-27.575397,-123.56043,-14.460287,154.07407,-12.138777,-98.344307
11059793604.491,-27.463989,-123.37955,-14.477165,154.02243,-12.133455,-98.335014
11059793612.005,-27.637403,-123.58367,-14.47769,153.94914,-12.136977,-98.292931
11059793619.519,-27.574865,-123.75698,-14.462429,153.95157,-12.139756,-98.370712
11059793627.032,-27.514709,-123.36668,-14.478554,153.86882,-12.135073,-98.262665
11059793634.546,-27.5068,-123.48978,-14.483927,153.89091,-12.119983,-98.155975
11059793642.06,-27.478603,-123.9684,-14.495155,153.83589,-12.120547,-98.376648
11059793649.574,-27.522291,-123.45758,-14.470159,153.87599,-12.121132,-98.244125
11059793657.088,-27.491634,-123.5435,-14.489823,153.92603,-12.117089,-98.288277
11059793664.602,-27.530769,-123.30181,-14.489428,153.65283,-12.123558,-98.33847
11059793672.115,-27.506626,-123.67261,-14.466702,153.84044,-12.139187,-98.276039
11059793679.629,-27.565384,-123.86713,-14.479852,153.85744,-12.138664,-98.411407
11059793687.143,-27.561831,-123.70766,-14.475686,154.0486,-12.145432,-98.30114
11059793694.657,-27.568012,-123.43713,-14.473867,153.77895,-12.127316,-98.275002
11059793702.171,-27.550262,-123.6226,-14.47938,153.90793,-12.138449,-98.36058
11059793709.684,-27.504936,-123.32116,-14.470045,153.96393,-12.143917,-98.347099
11059793717.198,-27.441086,-124.09814,-14.482731,153.97598,-12.125997,-98.392914
11059793724.712,-27.463463,-123.70844,-14.493937,153.9248,-12.110763,-98.338104
11059793732.226,-27.542463,-123.97964,-14.476678,153.65195,-12.128658,-98.255707
11059793739.74,-27.497566,-124.37457,-14.491514,153.78357,-12.129388,-98.343666
11059793747.253,-27.449894,-123.82343,-14.485846,153.61476,-12.137745,-98.277077
11059793754.767,-27.512983,-124.02838,-14.498045,153.73169,-12.1099,-98.442383
11059793762.281,-27.42285,-124.38568,-14.46985,153.75203,-12.129067,-98.339493
11059793769.795,-27.546751,-124.00433,-14.497046,153.873,-12.141294,-98.445419
11059793777.309,-27.516224,-123.44225,-14.471181,153.87688,-12.149837,-98.431419
11059793784.823,-27.571049,-123.61627,-14.476933,153.7972,-12.131919,-98.435013
11059793792.336,-27.48226,-123.48593,-14.461226,153.92027,-12.15035,-98.474823
11059793799.85,-27.559874,-123.46677,-14.493006,153.77794,-12.144037,-98.348557
11059793807.364,-27.474718,-123.59718,-14.489227,153.90157,-12.15438,-98.344818
11059793814.878,-27.498243,-123.89165,-14.489694,153.71098,-12.144982,-98.379417
11059793822.392,-27.445593,-123.67402,-14.508697,153.71178,-12.152911,-98.382126
11059793829.905,-27.380959,-123.94384,-14.49231,153.82056,-12.125965,-98.314514
11059793837.419,-27.36681,-124.03851,-14.503278,153.72617,-12.132972,-98.33448
11059793844.933,-27.360682,-124.11466,-14.519939,153.63707,-12.154656,-98.411736
11059793852.447,-27.51808,-124.11202,-14.506254,153.67877,-12.120408,-98.434654
11059793859.961,-27.499449,-123.61532,-14.494738,153.69044,-12.124898,-98.443062
11059793867.474,-27.526493,-123.90739,-14.493834,153.76616,-12.143913,-98.534119
11059793874.988,-27.489605,-123.51393,-14.496075,153.7928,-12.133961,-98.469498
11059793882.502,-27.484667,-124.01703,-14.518961,153.71786,-12.143553,-98.48201
11059793890.016,-27.492907,-124.3488,-14.483908,153.71635,-12.14613,-98.454819
11059793897.53,-27.454897,-123.73545,-14.489347,153.68637,-12.145103,-98.518303
11059793905.044,-27.445589,-123.70844,-14.498822,153.68845,-12.135845,-98.351791
11059793912.557,-27.403963,-124.47606,-14.50005,153.62413,-12.131358,-98.356293
11059793920.071,-27.433838,-123.49378,-14.523407,153.5621,-12.149691,-98.360291
11059793927.585,-27.398548,-124.32545,-14.500831,153.63461,-12.14572,-98.473969
11059793935.099,-27.350229,-124.18534,-14.528413,153.52562,-12.132725,-98.420944
11059793942.613,-27.377087,-124.45557,-14.507766,153.63562,-12.137907,-98.36834
11059793950.126,-27.432974,-123.95258,-14.485249,153.54883,-12.124615,-98.465187
11059793957.64,-27.389112,-123.92884,-14.514341,153.69614,-12.139483,-98.502037
11059793965.154,-27.450979,-123.90695,-14.507697,153.64912,-12.147711,-98.559113
11059793972.668,-27.51446,-123.97038,-14.521747,153.64604,-12.137939,-98.401726
11059793980.182,-27.468792,-124.21183,-14.493961,153.71303,-12.145883,-98.524132
11059793987.695,-27.408239,-123.75541,-14.487197,153.73148,-12.140197,-98.56221
11059793995.209,-27.381433,-123.87296,-14.51026,153.70779,-12.143478,-98.538155
11059794002.723,-27.350063,-123.83762,-14.50542,153.69972,-12.140483,-98.394974
11059794010.237,-27.374767,-124.26948,-14.523331,153.55212,-12.145487,-98.453613
11059794017.751,-27.306036,-124.44919,-14.515795,153.52939,-12.140759,-98.511497
11059794025.265,-27.269794,-124.26563,-14.528111,153.46771,-12.138453,-98.387764
11059794032.778,-27.293419,-124.49031,-14.50684,153.52068,-12.153036,-98.43351
11059794040.292,-27.283279,-124.01139,-14.534689,153.57861,-12.151452,-98.480637
11059794047.806,-27.309456,-124.32081,-14.507484,153.55005,-12.156758,-98.520035
11059794055.32,-27.338261,-123.32609,-14.504594,153.66551,-12.155591,-98.510193
11059794062.834,-27.416357,-124.09004,-14.508907,153.66763,-12.148343,-98.592697
11059794070.347,-27.294304,-124.13377,-14.505907,153.56618,-12.140946,-98.662636
11059794077.861,-27.32275,-124.13858,-14.499882,153.64986,-12.148945,-98.636803
11059794085.375,-27.317076,-124.01881,-14.520038,153.65044,-12.137082,-98.562988
11059794092.889,-27.313711,-124.56445,-14.515318,153.54285,-12.146798,-98.557167
11059794100.403,-27.319212,-124.10633,-14.524077,153.58055,-12.138784,-98.385986
11059794107.916,-27.263346,-124.53863,-14.537925,153.51556,-12.140444,-98.370926
11059794115.43,-27.309662,-124.19904,-14.536574,153.44963,-12.144405,-98.402031
11059794122.944,-27.204512,-124.35495,-14.525459,153.45445,-12.137425,-98.491745
11059794130.458,-27.30253,-124.14067,-14.528076,153.50328,-12.155436,-98.531837
11059794137.972,-27.173491,-123.80684,-14.528378,153.4761,-12.157573,-98.65107
11059794145.486,-27.31419,-124.61108,-14.55181,153.54576,-12.153737,-98.586365
11059794152.999,-27.318508,-124.01765,-14.517307,153.51071,-12.134212,-98.604454
11059794160.513,-27.429396,-124.21394,-14.514689,153.54404,-12.148828,-98.589325
11059794168.027,-27.277458,-124.54298,-14.506515,153.48193,-12.159422,-98.603149
11059794175.541,-27.339142,-124.37959,-14.502563,153.57634,-12.164689,-98.563965
11059794183.055,-27.33625,-124.39993,-14.514131,153.46481,-12.159077,-98.53791
11059794190.568,-27.261173,-124.37447,-14.522262,153.63762,-12.160664,-98.526932
11059794198.082,-27.266329,-123.96035,-14.534612,153.52725,-12.152627,-98.446991
11059794205.596,-27.267611,-124.05016,-14.556414,153.36642,-12.159444,-98.441772
11059794213.11,-27.16176,-124.81772,-14.546123,153.27856,-12.152032,-98.475304
11059794220.624,-27.194798,-124.59045,-14.558108,153.28726,-12.140027,-98.554985
11059794228.137,-27.292513,-124.26565,-14.531306,153.51765,-12.15592,-98.452644
11059794235.651,-27.132717,-124.63425,-14.522578,153.51782,-12.165721,-98.445717
11059794243.165,-27.255608,-124.32912,-14.518511,153.43565,-12.164306,-98.621681
11059794250.679,-27.267082,-124.13649,-14.520646,153.50104,-12.150009,-98.68515
11059794258.193,-27.280418,-124.35001,-14.519473,153.45538,-12.157643,-98.547531
11059794265.707,-27.364058,-124.12051,-14.5218,153.41167,-12.153764,-98.541611
11059794273.22,-27.287775,-124.49801,-14.522084,153.30362,-12.158125,-98.623177
11059794280.734,-27.277029,-124.17571,-14.527143,153.59598,-12.148694,-98.487801
11059794288.248,-27.198837,-125.01002,-14.551138,153.41632,-12.160588,-98.513794
11059794295.762,-27.185312,-124.7901,-14.551094,153.35675,-12.149504,-98.576256
11059794303.276,-27.166388,-124.55111,-14.564528,153.44038,-12.145962,-98.593056
11059794310.789,-27.232265,-124.6434,-14.569901,153.34529,-12.141709,-98.556396
11059794318.303,-27.204653,-124.5778,-14.56741,153.368,-12.162767,-98.549911
11059794325.817,-27.18128,-124.68835,-14.54317,153.38264,-12.162768,-98.577866
11059794333.331,-27.223173,-124.761,-14.519976,153.33665,-12.153634,-98.684868
11059794340.845,-27.237144,-124.13846,-14.550362,153.4512,-12.151471,-98.691315
11059794348.358,-27.209612,-124.18598,-14.525936,153.37093,-12.162886,-98.667381
11059794355.872,-27.225649,-124.6273,-14.549757,153.47885,-12.164939,-98.674118
11059794363.386,-27.31031,-124.03236,-14.559043,153.3306,-12.154728,-98.587593
11059794370.9,-27.215107,-124.12878,-14.526661,153.41402,-12.164484,-98.676109
11059794378.414,-27.096893,-124.69113,-14.546812,153.32773,-12.148966,-98.620644
11059794385.928,-27.136198,-125.06179,-14.563327,153.21452,-12.165645,-98.670959
11059794393.441,-27.147371,-124.19566,-14.555605,153.27333,-12.162184,-98.597092
11059794400.955,-27.12138,-124.90067,-14.535065,153.24323,-12.154538,-98.565063
11059794408.469,-27.203804,-124.49774,-14.550129,153.20383,-12.153869,-98.601715
11059794415.983,-27.108736,-125.44175,-14.580117,153.08784,-12.151945,-98.600105
11059794423.497,-27.186592,-124.79958,-14.554889,153.35834,-12.162322,-98.718544
11059794431.01,-27.200298,-124.49311,-14.563208,153.37012,-12.153656,-98.775833
11059794438.524,-27.210899,-124.81715,-14.562568,153.39607,-12.175539,-98.652512
11059794446.038,-27.266211,-124.1688,-14.577886,153.2388,-12.161775,-98.769577
11059794453.552,-27.170416,-124.12678,-14.533874,153.48135,-12.155809,-98.755539
11059794461.066,-27.186174,-124.27726,-14.547115,153.30037,-12.159111,-98.765709
11059794468.579,-27.120754,-124.73785,-14.536475,153.22562,-12.159245,-98.571556
11059794476.093,-27.147121,-124.72938,-14.562469,153.29253,-12.160827,-98.62648
11059794483.607,-27.120119,-124.67776,-14.563264,153.18207,-12.169359,-98.60054
11059794491.121,-27.069603,-124.71239,-14.582664,153.245,-12.148726,-98.686195
11059794498.635,-27.12727,-124.84243,-14.577382,153.21721,-12.14557,-98.648857
11059794506.149,-27.027925,-124.66814,-14.563701,153.29282,-12.172913,-98.6101
11059794513.662,-27.104191,-124.96277,-14.555051,153.06937,-12.166403,-98.569801
11059794521.176,-27.128859,-124.52116,-14.534262,153.38564,-12.163766,-98.702423
11059794528.69,-27.136248,-124.93936,-14.572174,153.39006,-12.159561,-98.587868
11059794536.204,-27.170673,-124.48914,-14.547411,153.20845,-12.170228,-98.730621
11059794543.718,-27.159748,-124.39116,-14.536504,153.35641,-12.162452,-98.786758
11059794551.231,-27.055418,-124.85529,-14.556499,153.18832,-12.169061,-98.63372
11059794558.745,-27.07855,-124.58611,-14.555689,153.32253,-12.157459,-98.781059
11059794566.259,-27.079489,-124.9054,-14.571213,153.24629,-12.172503,-98.695763
11059794573.773,-26.97163,-124.758,-14.571795,153.08553,-12.154878,-98.627975
